day,month,type,name,price
8,12,type2,item8,12
9,12,type1,item9,18
9,12,type3,item10,22
10,1,type2,item11,8
10,1,type1,item12,45
11,1,type3,item13,33
10,1,type2,item11,8
10,1,type1,item12,45
11,1,type3,item13,33
12,1,type2,item14,27
13,2,type1,item15,14
13,2,type3,item16,50
14,2,type2,item17,19
15,2,type1,item18,60
16,3,type3,item19,7
17,3,type2,item20,38
18,3,type1,item21,42
19,3,type3,item22,29
20,4,type2,item23,16
21,4,type1,item24,55
22,4,type3,item25,24
23,4,type2,item26,31
24,5,type1,item27,48
2,10,type1,item28,5
2,10,type1,item29,5
6,10,type2,item30,15
7,12,type1,item31,35
7,12,type1,item32,35
9,12,type3,item33,22
10,1,type2,item34,8
10,1,type2,item35,8
13,2,type1,item36,14
13,2,type1,item37,20
16,3,type3,item38,7
16,3,type3,item39,7
18,3,type1,item40,42
20,4,type2,item41,16
20,4,type2,item42,16
21,4,type1,item43,55
22,4,type3,item44,24
22,4,type3,item45,24
24,5,type1,item46,48
24,5,type1,item47,48
